NTAName_x,Total Population,Hispanic,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race
Murray Hill-Broadway Flushing,40756,5592,13067,502,123,22928,0,3087
Murray Hill-Kips Bay,48642,4484,33105,3166,110,10445,0,300
New Dorp-Midland Beach,21835,3251,19114,190,0,1736,0,525
New Springville-Willowbrook-Bulls Head-Travis,34837,5417,25084,1167,96,6557,0,1063
North Corona,17687,15140,6891,1529,42,1157,12,7644
Norwood,29786,19209,8498,5372,165,3195,18,11183
Oakland Gardens-Hollis Hills,25223,3544,11713,1325,272,10394,0,940
Oakwood-Richmondtown,20485,2974,17634,423,0,1309,0,353
Ocean Hill,36805,7324,3427,28625,47,489,0,3683
Old Astoria-Hallets Point,14574,5268,7478,2068,0,2139,13,2377
Ozone Park,23966,10027,9751,1706,54,6366,6,4975
Ozone Park (North),25477,11235,7349,1509,14,8485,29,6211
Park Slope,55879,5919,42962,3493,77,4486,18,1544
Parkchester,30318,10862,4424,13463,334,5533,20,4999
Pelham Bay Park,24,4,4,20,0,0,0,0
Pelham Bay-Country Club-City Island,22731,10070,14602,1788,169,732,0,4649
Pelham Gardens,29209,10254,8931,10614,241,2910,0,4910
Pelham Parkway-Van Nest,29261,16023,7915,6158,269,2067,0,11512
Pomonok-Electchester-Hillcrest,24400,5534,8574,3868,33,8131,20,2053
Port Richmond,13058,5520,7031,3079,250,1178,2,1089
Prospect Heights,22301,2519,12831,5158,46,1637,0,1029
Prospect Lefferts Gardens-Wingate,45424,4533,11523,28755,132,1372,0,1972
Prospect Park,0,0,0,0,0,0,0,0
Queens Village,52522,10166,6126,24402,204,9139,76,9071
Queensboro Hill,20166,3200,4000,353,33,13926,0,1554
Queensbridge-Ravenswood-Dutch Kills,22228,7455,7780,5825,164,3958,23,3602
Randall's Island,2009,482,573,1152,11,63,22,165
Rego Park,28213,4682,13847,1596,38,10467,0,1323
Richmond Hill,35709,16879,13342,2759,386,8800,0,8149
Ridgewood,66137,32032,52390,1728,123,4802,0,5392
Rikers Island,6864,2407,2233,3824,18,181,0,505
Riverdale-Spuyten Duyvil,45308,10374,31654,4564,63,2274,0,3953
Rockaway Beach-Arverne-Edgemere,34206,9043,11574,16282,323,1527,0,3311
Rosebank-Shore Acres-Park Hill,12884,2324,7904,1423,94,2478,0,648
Rosedale,12918,1522,791,10570,314,252,0,676
Sheepshead Bay-Manhattan Beach-Gerritsen Beach,57771,5475,38698,4547,38,10205,0,2287
SoHo-Little Italy-Hudson Square,22489,1800,13934,335,45,6879,0,651
Soundview Park,155,0,65,90,0,0,0,0
Soundview-Bruckner-Bronx River,69194,43593,8430,22822,817,2776,0,31934
Soundview-Clason Point,26881,17340,10432,9892,24,391,0,4936
South Jamaica,31876,4632,982,20980,71,3126,0,5688
South Ozone Park,80664,17787,11707,17788,676,26368,118,18486
South Richmond Hill,24003,5799,2679,2842,252,9220,33,7976
South Williamsburg,36891,3351,32843,1642,32,212,22,1438
Spring Creek-Starrett City,12553,2309,3783,7325,237,480,0,585
Springfield Gardens (North)-Rochdale Village,17959,1609,533,15912,8,554,0,687
Springfield Gardens (South)-Brookville,22196,1492,889,19692,49,410,57,656
St. Albans,51429,3104,1554,45392,278,1071,103,2001
St. George-New Brighton,17224,5571,7533,6594,41,1118,9,1220
St. John Cemetery,0,0,0,0,0,0,0,0
St. Michael's Cemetery,0,0,0,0,0,0,0,0
Stuyvesant Town-Peter Cooper Village,22335,1795,17357,1040,0,2804,0,402
Sunnyside,39917,13584,24494,978,172,9752,0,3170
Sunset Park (Central),33113,13260,7893,871,113,15624,0,7905
Sunset Park (East)-Borough Park (West),16240,3496,8053,546,90,6150,0,1188
Sunset Park (West),49559,30233,25711,1801,456,6023,0,13095
The Battery-Governors Island-Ellis Island-Liberty Island,0,0,0,0,0,0,0,0
The Evergreens Cemetery,0,0,0,0,0,0,0,0
Throgs Neck-Schuylerville,45634,23225,24444,6236,107,1889,39,11040
Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,17181,1713,12519,642,7,3284,0,384
Tompkinsville-Stapleton-Clifton-Fox Hills,12397,4537,5089,4492,18,820,0,1418
Tottenville-Charleston,15693,1531,14325,63,20,678,0,396
Tremont,31270,20207,5609,14388,313,114,37,9843
Tribeca-Civic Center,21346,1699,16952,1024,0,2458,0,277
United Nations,0,0,0,0,0,0,0,0
University Heights (North)-Fordham,45837,35949,7197,10230,330,891,72,25526
University Heights (South)-Morris Heights,55215,38499,5187,18886,385,846,19,27902
Upper East Side-Carnegie Hill,54413,3735,48049,497,33,3727,0,516
Upper East Side-Lenox Hill-Roosevelt Island,52112,4470,40761,2193,20,7376,36,889
Upper East Side-Yorkville,48838,5119,39034,1576,0,5686,0,1137
Upper West Side (Central),95311,12678,76690,5075,214,7308,0,3234
Upper West Side-Lincoln Square,33723,3098,26741,1224,41,4384,0,518
Upper West Side-Manhattan Valley,52334,14144,31435,7497,22,5251,0,5583
Wakefield-Woodlawn,48046,9755,10840,28944,137,2046,37,4627
Washington Heights (North),80126,50116,34943,7693,692,2321,0,28158
Washington Heights (South),83914,60712,23903,13550,828,3236,92,33940
West Farms,18539,13630,4040,6030,114,212,134,7432
West New Brighton-Silver Lake-Grymes Hill,27356,6478,18043,4667,55,1644,0,1877
West Village,33204,2243,29242,539,0,1731,5,319
Westchester Square,15136,8923,3101,2123,85,3292,26,5760
Westerleigh-Castleton Corners,30635,4785,24643,1140,0,3395,0,551
Whitestone-Beechhurst,28095,3806,20154,140,31,6177,14,987
Williamsbridge-Olinville,57664,16516,6203,40263,567,807,0,8285
Williamsburg,57774,18227,40852,3212,330,4070,22,6890
Windsor Terrace-South Slope,14065,1593,11695,145,11,1057,0,534
Woodhaven,40462,23953,16792,1730,221,7992,0,10824
Woodside,43000,14601,19296,738,228,18009,0,3419
