NTAName,County Name,Total Population,Male_Pop,Female_Pop,Hsp_Pop,Not_Hsp_Pop,White_Pop,Black_Pop,AmericanIndian_AlaskanNative_Pop,Asian_Pop,NativeHawaiian_Pop,Other_Pop,Two+_Pop,BoroCode,Shape_Leng,Shape_Area,Male_Pop_WA,Female_Pop_WA,Hsp_Pop_WA,Not_Hsp_Pop_WA,White_Pop_WA,Black_Pop_WA,AmericanIndian_AlaskanNative_Pop_WA,Asian_Pop_WA,NativeHawaiian_Pop_WA,Other_Pop_WA,Two+_Pop_WA
Bensonhurst, Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,33669.6206896,48634931.3054,110544.24637681161,110547.2463768116,144216.86706641162,48779148.17246641,48889692.418843225,49000239.66522003,49144456.53228644,97923604.70475285,146813297.12359607,195813536.7888161,244957993.32110253
Borough Park, Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,28481.0788224,40481286.1694,110544.24637681161,110547.2463768116,139028.3251992116,40620314.494599216,40730858.74097603,40841405.98735284,40980434.31255205,81600748.80715127,122331607.54812731,163173013.53548014,204153447.8480322
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel, Queens,28912.83132530121,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445786,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,104337.146058,69230686.6319,78663.25301204821,78667.25301204821,183004.3990700482,69413691.03097004,69492354.2839821,69571021.53699414,69754025.93606418,139167716.96703422,208660071.25101632,278231092.7880105,347985118.72407466
Brighton Beach, Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,16805.8963446,13564293.5158,110544.24637681161,110547.2463768116,127353.1427214116,13691646.658521412,13802190.904898223,13912738.151275035,14040091.293996446,27731737.95251786,41533928.857416086,55446667.00869112,69486758.30268757
Bronx Park, Bronx,30068.44897959184,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.6122448979592,476.59183673469386,2.0,32849.0273674,33461446.5837,73248.22448979592,73250.22448979592,106099.25185719591,33567545.83555719,33640794.06004699,33714044.28453679,33820143.536393985,67387689.37195118,101028483.43199815,134742527.71653494,168562671.25292894
Brooklyn Heights, Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,14312.5049112,9982321.61811,110544.24637681161,110547.2463768116,124859.7512880116,10107181.369398009,10217725.615774821,10328272.862151632,10453132.613439644,20560313.982837655,30778039.598612472,41106312.4607641,51559445.07420375
Brooklyn Navy Yard, Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,39387.6326877,10106059.5247,110544.24637681161,110547.2463768116,149934.87906451162,10255994.403764514,10366538.650141325,10477085.896518137,10627020.775582649,20883015.17934716,31249553.82948849,41726639.72600662,52353660.50158927
Brownsville, Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,25719.2901622,30785525.8165,110544.24637681161,110547.2463768116,136266.5365390116,30921792.35303901,31032336.599415824,31142883.845792633,31279150.382331643,62200942.73537066,93233279.33478649,124376163.18057911,155655313.56291077
Bushwick (East), Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,27121.6752991,27932137.9551,110544.24637681161,110547.2463768116,137668.9216759116,28069806.876775913,28180351.123152725,28290898.369529534,28428567.291205443,56498374.16798136,84678725.29113407,112969623.66066363,141398190.95186907
Bushwick (West), Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,23685.2070277,23135495.4322,110544.24637681161,110547.2463768116,134232.45340451162,23269727.885604512,23380272.131981324,23490819.378358137,23625051.83176265,46894779.71736716,70275051.84934849,93765871.22770661,117390923.05946925
