,ntacode,avg_compound_score,norm_compound_score
111,BX49,-0.379814867882477,0.3481083340735913
112,BK43,-0.41403932639501045,0.2156578703916936
113,BK46,-0.41539510246988015,0.21041094531033533
114,SI99,-0.36139699718562884,0.41938646731089024
115,MN09,-0.2830123893303826,0.7227390434268581
116,MN11,-0.27219892141982976,0.7645877358827968
117,MN17,-0.24666334922490168,0.8634117501871338
118,BK76,-0.3415602893815659,0.4961555751583753
119,MN32,-0.28196734821930614,0.7267834077716739
120,QN71,-0.35781800763733795,0.43323734606212594
121,QN98,-0.4366270548401686,0.1282421672334868
122,BK25,-0.3890929249936145,0.31220176257919485
123,BK28,-0.4325435729455966,0.14404545803426405
124,BK29,-0.46315629410974074,0.025572608821159193
125,QN03,-0.4015558125796937,0.26396972878421043
126,QN05,-0.3739418850908208,0.3708370879460827
