NTAName_y,Total,"White, not hispanic","Black or African American, not hispanic","American Indian and Alaska Native, not hispanic","Asain, not hispanic","Native Hawaiian and Other Pacific Islander, not hispanic","Some other race alone, not hispanic","Two or More Races, not hispanic",Hispanic or Latino
East Harlem (South),101234,22.95276290574313,18.017662050299307,0.2578185194697434,17.931722543809393,0.0484027105517909,4.05990082383389,3.1560542900606516,33.5756761562321
East Midtown-Turtle Bay,85872,42.43991056456121,5.32769703745109,0.10830072666294019,22.378656605179803,0.0,2.480435997764114,2.2393795416433764,25.02561952673747
East New York (North),41499,2.58319477577773,57.962842478132,0.07229089857586929,2.22896937275597,0.2626569314923251,0.6650762668979976,2.47234873129473,33.75262054507338
East New York-City Line,45563,2.671026929745627,59.118144108157935,0.028531922832122556,9.20703202159647,0.0,1.1807826525909182,1.8436011676140729,25.950881197462856
East New York-New Lots,48034,1.7862347503851437,72.8588083440896,0.08119248865387017,1.21580547112462,0.0,1.1325311237873175,1.051338635133447,21.874089186825998
East Village,117860,35.106058034956725,12.411335482776176,0.10266417783811302,15.425929068386221,0.02969624978788393,0.73392160190056,2.6293908026472086,33.56100458170711
East Williamsburg,82400,33.58373786407767,8.739077669902914,0.2949029126213592,20.134708737864077,0.0,0.3276699029126214,1.9077669902912622,35.012135922330096
Eastchester-Edenwald-Baychester,87640,11.211775445002283,50.86490187129164,0.21223185759926974,12.35851209493382,0.0,0.6081697854860794,2.4052943861250573,22.339114559561843
Elmhurst,112134,10.513314427381527,3.4993846647760716,0.33709668789127295,43.88410294825834,0.02407833484937664,0.19797741987265235,1.9004048727415415,39.64364064422923
Far Rockaway-Bayswater,63978,24.910125355590985,43.139829316327486,0.0,4.667229360092532,0.03126074588139673,0.6939885585670074,3.104192066022695,23.453374597517897
Ferry Point Park-St. Raymond Cemetery,12832,46.571072319201996,3.187344139650873,0.23379052369077308,19.69295511221945,0.0,3.974438902743142,2.7743142144638404,23.566084788029926
Financial District-Battery Park City,73394,58.34536883123961,8.0142790963839,0.06267542305910566,16.940076845518707,0.016350110363244953,0.8651933400550454,4.364116957789465,11.39193939559092
Flatbush,74039,16.897851132511242,55.303286105971175,0.35521819581571873,4.494928348573049,0.0,0.7401504612433988,2.863355798970813,19.3452099569146
Flatbush (West)-Ditmas Park-Parkville,60438,27.957576359244186,29.385485952546407,0.2018597571064562,18.905324464740726,0.014891293557033655,2.4421721433535195,2.7366888381481846,18.356001191303484
Flatlands,82422,13.430880104826382,69.49964815219238,0.06794302492053092,3.8642595423551964,0.08978185435927301,1.0785955206134286,2.617019727742593,9.35187207299022
Flushing Meadows-Corona Park,0,,,,,,,,
Flushing-Willets Point,64271,7.256772105615285,4.588383563348945,0.3547478645112103,68.93777909165875,0.062236467458107084,0.23338675296790154,1.555911686452677,17.010782467987116
Fordham Heights,41473,4.197911894485569,20.09500156728474,0.13985002290646928,2.179731391507728,0.09885949895112484,0.40267161767897186,1.24900537699226,71.63696863019314
Forest Hills,87466,48.52514119772254,3.0537580316923147,0.03887224750188645,28.125214369011957,0.010289712574028765,0.31783778839777743,4.501177600439028,15.427709052660463
