NTAName,Normalized
Far Rockaway-Bayswater,0.7034009581676326
Rockaway Beach-Arverne-Edgemere,0.8423018483832031
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,0.6144366702833415
Rockaway Community Park,4.763680798934609
LaGuardia Airport,1.3905077230693814
Flushing Meadows-Corona Park,0.77004721697137
Forest Park,1.7716322638519328
John F. Kennedy International Airport,0.21572291149268338
Jamaica Bay (East),0.6083828464510109
Jacob Riis Park-Fort Tilden-Breezy Point Tip,0.8081284500450848
St. George-New Brighton,1.6047496013598272
Tompkinsville-Stapleton-Clifton-Fox Hills,1.7547758336607762
Rosebank-Shore Acres-Park Hill,1.2067155680952373
West New Brighton-Silver Lake-Grymes Hill,0.4983405861250278
Westerleigh-Castleton Corners,0.5558445265759372
Port Richmond,1.1738946515539062
Mariner's Harbor-Arlington-Graniteville,0.4758800443012951
Snug Harbor,11.288306112385833
Grasmere-Arrochar-South Beach-Dongan Hills,0.5309789092304463
New Dorp-Midland Beach,0.6840891691392611
Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,0.22831937655867787
New Springville-Willowbrook-Bulls Head-Travis,0.20310152980295793
Freshkills Park (North),0.6244415835569815
Oakwood-Richmondtown,0.760462479349046
Great Kills-Eltingville,0.36436345358914957
Arden Heights-Rossville,0.6276495041492768
Annadale-Huguenot-Prince's Bay-Woodrow,0.23576193933799883
Tottenville-Charleston,0.3355443493505889
Freshkills Park (South),0.8906936562393639
Fort Wadsworth,4.312129056591436
Hoffman & Swinburne Islands,66.91554775681473
Miller Field,3.914522136285582
Great Kills Park,1.8195298157480324
