NTAName_left,Population,Weighted Median Income
Pelham Bay-Country Club-City Island,3698.9166666666665,87679.14389348232
Pelham Gardens,2826.2380952380954,86276.66410001516
Pelham Parkway-Van Nest,3621.0,63822.3518019884
Pomonok-Electchester-Hillcrest,3840.0833333333335,89148.655910245
Port Richmond,3755.9411764705883,102462.69466413996
Prospect Heights,3884.6666666666665,165325.43717464677
Prospect Lefferts Gardens-Wingate,3775.5714285714284,73762.59122176397
Prospect Park,4250.764705882353,147136.73496810262
Queens Village,2960.823529411765,97449.58856836334
Queensboro Hill,3958.1111111111113,71365.61213261096
Queensbridge-Ravenswood-Dutch Kills,2239.875,94339.66774559593
Randall's Island,3046.0,15537.940906106369
Rego Park,4552.24,88106.28884241605
Richmond Hill,2735.548387096774,79326.37624112639
Ridgewood,3190.2380952380954,70924.48095380253
Rikers Island,6661.0,0.0
Riverdale-Spuyten Duyvil,3546.1052631578946,115760.56285620993
Rockaway Beach-Arverne-Edgemere,4519.75,64944.44541549127
Rockaway Community Park,2189.3333333333335,16279.298112058465
Rosebank-Shore Acres-Park Hill,3365.125,90980.78789792355
Rosedale,2719.8947368421054,109656.33989318472
Sheepshead Bay-Manhattan Beach-Gerritsen Beach,3330.8333333333335,88116.08074389125
Shirley Chisholm State Park,3236.5714285714284,51448.7863700565
Snug Harbor,2911.75,122005.18743023954
SoHo-Little Italy-Hudson Square,4323.55,147504.0166298528
Soundview Park,3384.4,45227.34889492968
Soundview-Bruckner-Bronx River,4157.555555555556,51376.100869456764
Soundview-Clason Point,3827.0,64776.307272885635
South Jamaica,2671.90625,80747.43141015894
South Ozone Park,3170.31914893617,92705.31062044897
South Richmond Hill,2825.9583333333335,85130.03969155006
South Williamsburg,4471.590909090909,47617.20843710292
Spring Creek Park,3760.0,98589.33771276596
Spring Creek-Starrett City,3798.0833333333335,58145.177677337255
Springfield Gardens (North)-Rochdale Village,3512.4210526315787,85860.92079237592
Springfield Gardens (South)-Brookville,3262.285714285714,103976.81678052199
St. Albans,2588.8936170212764,98222.64809579382
St. George-New Brighton,2860.5454545454545,85291.5999809318
St. John Cemetery,2851.125,92672.26226489544
St. Michael's Cemetery,2342.1428571428573,90464.63885330893
Stuyvesant Town-Peter Cooper Village,6335.5,142015.50267540052
Sunnyside,2412.0833333333335,83915.43297633443
Sunnyside Yards (North),1955.909090909091,88971.63123402277
Sunnyside Yards (South),2321.3076923076924,115030.2368028631
Sunset Park (Central),3138.5,53381.88690738363
Sunset Park (East)-Borough Park (West),2893.8,50181.892777662586
Sunset Park (West),3069.5405405405404,85334.60215015893
The Battery-Governors Island-Ellis Island-Liberty Island,2584.8888888888887,240362.87646148555
The Evergreens Cemetery,2190.1428571428573,72953.83230056748
Throgs Neck-Schuylerville,3198.086956521739,83296.31817934634
Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,3980.6774193548385,114944.0195784475
Tompkinsville-Stapleton-Clifton-Fox Hills,3307.5333333333333,81890.39935097656
Tottenville-Charleston,4509.0,124264.77629925334
Tremont,3730.3636363636365,37518.98047960228
Tribeca-Civic Center,4589.266666666666,178021.09237496188
United Nations,4830.2,228642.85218003395
University Heights (North)-Fordham,5106.148148148148,45830.71223506884
University Heights (South)-Morris Heights,4711.52,42434.78825517031
Upper East Side-Carnegie Hill,4456.875,224570.78982611134
Upper East Side-Lenox Hill-Roosevelt Island,5309.678571428572,204034.35626315826
Upper East Side-Yorkville,5710.375,181955.60822041752
Upper West Side (Central),8054.882352941177,220846.16049454844
Upper West Side-Lincoln Square,5982.176470588235,196050.5443916733
Upper West Side-Manhattan Valley,7181.076923076923,148384.89924373888
Van Cortlandt Park,3295.5714285714284,74515.2239585591
Wakefield-Woodlawn,3148.2083333333335,79163.15944254007
Washington Heights (North),6828.0,79440.61267574692
Washington Heights (South),7041.333333333333,71498.12780881146
West Farms,3912.722222222222,43179.59563532068
West New Brighton-Silver Lake-Grymes Hill,3158.259259259259,101562.67614602511
West Village,4702.142857142857,213359.1221631475
Westchester Square,3406.3529411764707,60481.346290667956
Westerleigh-Castleton Corners,4055.8333333333335,118845.0633655229
Whitestone-Beechhurst,4549.357142857143,96539.31775290072
Williamsbridge-Olinville,3314.2894736842104,57061.06349697879
Williamsburg,4570.125,119312.39133685257
Windsor Terrace-South Slope,2884.85,142219.0770404007
Woodhaven,2885.5238095238096,74809.91817941779
Woodlawn Cemetery,2194.5,61239.81487810435
Woodside,3329.875,77868.1210443335
Yankee Stadium-Macombs Dam Park,6300.285714285715,41990.77393315496
