NTAName,Population,Weighted Median Income,Below Poverty Line %,EAPop,Bachelor degree,Total,"White, not hispanic","Black or African American, not hispanic","American Indian and Alaska Native, not hispanic","Asain, not hispanic","Native Hawaiian and Other Pacific Islander, not hispanic","Some other race alone, not hispanic","Two or More Races, not hispanic",Hispanic or Latino,NormalizedSD,Total_NYPD_Complaints,avg_compound_score,norm_compound_score
Castle Hill-Unionport,4289.190476190476,63354.10318297381,21.621135411580276,39677,7.734959800388134,119834,30.346979988984764,9.791878765625782,0.0717659428876612,17.812140127175926,0.0133518033279369,1.893452609443063,2.5310012183520536,37.53942954420281,1.2930479366213234,0.00897245255437659,-0.4661102691243139,0.3047451128730858
Chelsea-Hudson Yards,4389.423076923077,191341.7284819277,11.477708648979725,54855,34.0461215932914,107264,48.6910799522673,8.430601133651551,0.0820405727923627,11.331854116945108,0.0587335918854415,0.3822344868735083,2.590803997613365,28.43265214797136,1.4336310657097928,0.09525111658007475,-0.2757954722131043,0.7782653573911287
Chinatown-Two Bridges,5824.615384615385,60939.19940570523,32.42202634637737,35695,12.407900266143718,78676,12.583252834409478,13.326808683715493,0.4829935431389496,40.504092734760285,0.0,0.667293710915654,1.9090955310386903,30.52646296202145,3.685343075697792,0.07166269785684269,-0.30259810641574,0.7115780051340107
Claremont Village-Claremont (East),3502.9,36832.31413971281,43.18323562429837,26167,4.65089616692781,79585,49.073317836275685,16.64886599233524,0.0540302820883332,7.764025884274675,0.0,0.2123515737890306,2.514292894389646,23.7331155368474,4.255121072610963,0.07738754920319486,-0.2656358588280161,0.8035433845986515
Clinton Hill,4053.863636363637,120557.33163648596,9.440926220909905,27082,28.007532678531867,112959,31.483104489239462,22.621482130684583,0.1000362963553147,6.567869758053807,0.0123938774245522,0.5683478076116113,2.076859745571402,36.56990589505927,2.920263666036966,0.04508529650690495,-0.3209971620971329,0.6657995082091552
Concourse-Concourse Village,5036.551724137931,40505.74961659592,31.898652417721145,61126,7.051009390439421,131339,30.384729592885584,19.921729265488544,0.1439024204539398,7.76920792757673,0.0,0.424854765149727,1.6400307600941078,39.71554526835136,1.6050511711511666,0.08309066518339168,-0.3096883847431617,0.6939367582010773
Coney Island-Sea Gate,4011.125,61313.805405798455,27.39534517386681,48372,15.31051021251964,89284,33.17727700371847,32.17373773576453,0.0884816988486179,5.934993951883876,0.0078401505308901,0.7436942789301555,3.1147798037722323,24.75919537655123,0.8955146722822225,0.07355494914413296,-0.3261763445291737,0.6529132388731579
Corona,3883.428571428572,60386.3584902884,19.236350068405127,53284,8.82816605359958,119832,7.941117564590426,11.258261566192669,0.1977768876426997,10.264370118165433,0.0,0.5624541024100407,1.0681620935977034,68.70785766740103,1.7705315514161482,0.038097740409879136,-0.3912451806565911,0.4910161520799853
Crotona Park East,3509.409090909091,43620.26340875827,29.366748250542933,27953,7.966944514005653,76427,41.10589189684274,15.497141062713435,0.0798147251625734,7.991940021196697,0.0,0.6267418582438145,2.4232273934604263,32.27524304238031,2.662231856989413,0.09229778556863306,-0.3285320572910528,0.6470520147270413
Crown Heights (North),3824.363636363637,78454.74286868879,20.48604276898496,71030,17.454596649303113,128067,20.865640641226857,45.08187120803954,0.078084127839334,3.503634816150921,0.0,0.5973435779709059,3.007019763092756,26.86640586567968,1.2010924857777638,0.07543291566943545,-0.3251764628284073,0.6554010340163644
Crown Heights (South),3470.4193548387098,75041.88469367837,17.417054686434568,39594,14.898722028590193,62891,34.71402903436104,47.86376429059802,0.0270308947226153,1.8110699464152265,0.0,0.5183571576219173,1.5248604728816524,13.54088820339953,2.121211948724397,0.07198060312168511,-0.355852757333766,0.5790756683020951
Cypress Hills,2749.206896551724,65014.28659049005,19.304883207219063,40908,6.37283660897624,40417,4.045327461216814,19.55117895934879,0.0742261919489323,4.958309622188683,0.0123710319914887,0.9624662889378232,2.395031793552218,68.00108865081526,1.7448801147886706,0.049990221961474526,-0.3916769227877106,0.4899419390244873
Downtown Brooklyn-DUMBO-Boerum Hill,3702.1111111111113,153855.7868383405,15.993559286242212,24603,27.955940332479777,121502,42.78777304077299,12.982502345640402,0.0362133956642689,14.607166960214643,0.0255139833089167,0.9102730819245772,3.2254613092788595,25.425095883195336,1.7923277168703322,0.16709344388895664,-0.3210773954756384,0.6655998803839676
Dyker Heights,2830.8823529411766,77348.07747532468,18.527672549200776,42554,13.98928420360013,165019,26.92659633133154,19.695913803865007,0.2690599264327138,20.849114344408825,0.0278755779637496,2.7887697780255607,2.2288342554493723,27.21383598252323,1.4608413367341748,0.027470978051417023,-0.4117504320646071,0.4399972517200847
East Elmhurst,3232.833333333333,68789.87451667784,13.56972242813607,24962,7.5835269609806915,77522,8.714945434844303,36.94306132452724,0.1328655091457908,5.185624725884265,0.0825572095663166,0.3186192306700033,1.08485333195738,47.53747323340471,1.4788768021246337,0.054683118339876616,-0.4370714711468005,0.3769962406991443
East Flatbush-Erasmus,3522.5714285714284,68782.45915118826,15.23747443188204,38153,12.182528241553744,47534,6.0861698994404,75.24298396936929,0.3050448100307149,4.428409138721757,0.0,0.9887659359616274,2.8085160095931334,10.140110236883071,2.1515573618445463,0.07315283201845202,-0.3596781252615383,0.5695578105951334
East Flatbush-Farragut,2589.777777777778,83326.41869744293,10.091025855810578,31371,12.648624525835965,46002,3.7846180600843446,67.55141080822573,0.2956393200295639,9.471327333594193,0.0,1.4738489630885614,4.488935263684188,12.93422025129342,1.7634741606903537,0.050524369640751014,-0.420149327587886,0.4191000481058013
East Flatbush-Remsen Village,3224.4347826086955,58749.941452495885,18.69659275283937,36660,12.105837424986362,48344,23.04319046831044,63.494952837994376,0.0,0.752937282806553,0.0,0.7405262286943571,3.559904021181532,8.408489161012742,2.313453777030173,0.06426623022367703,-0.3936579813296024,0.4850128881026148
East Flatbush-Rugby,2632.205882352941,73394.19892731437,12.311795792202613,38433,11.206515234303852,51100,9.107632093933464,69.99412915851272,0.187866927592955,5.483365949119374,0.0,0.8864970645792564,1.9804305283757335,12.360078277886496,1.5634822292310442,0.061925949054198216,-0.4187847452160957,0.4224952511527649
East Flushing,3266.333333333333,66098.00818677642,16.67915919830536,27040,10.706360946745562,29714,13.892441273473782,2.3456956316887663,0.8649121626169481,63.46839873460321,0.0,0.272598774988221,0.8581813286666218,18.297772093962443,1.3435988090515183,0.02407544378698225,-0.4186391074695343,0.422857610898208
East Harlem (North),5263.958333333333,52594.40406063245,32.26858092222814,64762,11.284395170007103,132691,22.05575359293396,25.72593469037086,0.4559465223715248,16.496220542463316,0.1371607720192025,1.9458742491954992,1.833583287487471,31.349526343158164,1.6295404040629302,0.11857261974614743,-0.2948764894925151,0.7307900789869226
East Harlem (South),5396.952380952381,74183.51004094021,29.026236829251275,58553,13.872901473878366,101234,22.95276290574313,18.017662050299307,0.2578185194697434,17.931722543809393,0.0484027105517909,4.05990082383389,3.156054290060652,33.5756761562321,2.554251188051634,0.07345481871125305,-0.2989359078577153,0.7206898828482722
East Midtown-Turtle Bay,3685.55,199583.9580523938,6.5024123827484015,30744,36.621779859484775,85872,42.43991056456121,5.32769703745109,0.1083007266629401,22.378656605179803,0.0,2.480435997764114,2.2393795416433764,25.02561952673747,3.237786251666797,0.0875943273484257,-0.2659183136745655,0.8028406116657314
East New York (North),3354.5625,56550.23613362399,25.49504394147131,41261,5.66152056421318,41499,2.58319477577773,57.962842478132,0.0722908985758692,2.22896937275597,0.2626569314923251,0.6650762668979976,2.47234873129473,33.75262054507338,1.5242799784335357,0.09939167737088292,-0.4061007425693349,0.4540541847314492
East New York-City Line,4065.8888888888887,64322.52865302107,25.99280231324499,34233,5.5063827301142165,45563,2.671026929745627,59.118144108157935,0.0285319228321225,9.20703202159647,0.0,1.1807826525909182,1.8436011676140729,25.950881197462856,1.349177141131807,0.08369117518184208,-0.4077358123539623,0.4499859847975154
East New York-New Lots,3524.054054054054,58151.324541759335,25.321200177746867,47868,6.998412300493022,48034,1.7862347503851437,72.8588083440896,0.0811924886538701,1.21580547112462,0.0,1.1325311237873177,1.051338635133447,21.874089186826,0.915711174395374,0.08586111807470544,-0.3871106973995087,0.5013031163866164
East Williamsburg,3452.0882352941176,80854.84212454525,25.362536066249486,41861,24.94445904302334,82400,33.58373786407767,8.739077669902914,0.2949029126213592,20.13470873786408,0.0,0.3276699029126214,1.9077669902912624,35.012135922330096,0.8138774802060631,0.09065717493609804,-0.3404005449465456,0.6175221554207768
Eastchester-Edenwald-Baychester,3991.074074074074,78849.9811616663,15.080003575578797,40819,10.078639849089884,87640,11.211775445002283,50.86490187129164,0.2122318575992697,12.35851209493382,0.0,0.6081697854860794,2.4052943861250573,22.339114559561843,0.7542887768361435,0.06305886964403831,-0.4242074838343213,0.4090029922315756
Elmhurst,4527.693877551021,71793.73444606211,10.136334966765318,75382,14.479583985566846,112134,10.513314427381529,3.499384664776072,0.3370966878912729,43.88410294825834,0.0240783348493766,0.1979774198726523,1.9004048727415412,39.64364064422923,1.010360553886417,0.0574009710540978,-0.4014066902077076,0.4657334070417107
