NTAName,Shape_Leng,Shape_Area,Total Population,Below Poverty Level,Above Poverty Level,Less than 9th grade,"9th to 12th grade, no diploma",High school diploma,Some college,Associate degree,Bachelor degree,Graduate degree,"High school graduate, or higher","Bachelor degree, or higher",Below Poverty Level_WA,Above Poverty Level_WA,Less than 9th grade_WA,"9th to 12th grade, no diploma_WA",High school diploma_WA,Some college_WA,Associate degree_WA,Bachelor degree_WA,Graduate degree_WA,"High school graduate, or higher_WA","Bachelor degree, or higher_WA"
Concourse-Concourse Village,29455.083706199996,26502799.8279,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,26540134.76411357,53080269.52822714,106160539.05645429,212321078.11290857,424642156.22581714,849284312.4516343,1698568624.9032686,3397137249.806537,6794274499.613074,13588548999.226149,27177097998.452297
Corona,22083.4234592,24025748.2771,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,24053861.095178034,48107722.19035607,96215444.38071214,192430888.76142427,384861777.52284855,769723555.0456971,1539447110.0913942,3078894220.1827884,6157788440.365577,12315576880.731153,24631153761.462307
Crotona Park,11725.2461047,6339738.999399999,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,6359344.098012074,12718688.196024148,25437376.392048296,50874752.78409659,101749505.56819318,203499011.13638636,406998022.2727727,813996044.5455455,1627992089.091091,3255984178.182182,6511968356.364364
Crotona Park East,20755.6379171,15978392.2166,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,16007027.707024476,32014055.41404895,64028110.8280979,128056221.6561958,256112443.3123916,512224886.6247832,1024449773.2495664,2048899546.4991329,4097799092.9982657,8195598185.9965315,16391196371.993063
Cunningham Park,28158.2104288,21304892.4242,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,21339080.02924763,42678160.05849526,85356320.11699052,170712640.23398104,341425280.4679621,682850560.9359242,1365701121.8718483,2731402243.7436967,5462804487.487393,10925608974.974787,21851217949.949574
Douglaston-Little Neck,51882.30683279999,68149461.0396,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,68207372.74105163,136414745.48210326,272829490.9642065,545658981.928413,1091317963.856826,2182635927.713652,4365271855.427304,8730543710.854609,17461087421.709217,34922174843.418434,69844349686.83687
East Elmhurst,24418.5676139,28763853.7419,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,28794301.704132732,57588603.408265464,115177206.81653093,230354413.63306186,460708827.2661237,921417654.5322474,1842835309.0644948,3685670618.1289897,7371341236.257979,14742682472.515959,29485364945.031918
East Flushing,28376.5005507,31659932.707400005,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,31694338.60256954,63388677.20513908,126777354.41027816,253554708.8205563,507109417.6411126,1014218835.2822253,2028437670.5644505,4056875341.128901,8113750682.257802,16227501364.515604,32455002729.031208
Eastchester-Edenwald-Baychester,54240.4870054,56395309.7959,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,56457430.135412775,112914860.27082555,225829720.5416511,451659441.0833022,903318882.1666044,1806637764.3332088,3613275528.6664176,7226551057.332835,14453102114.66567,28906204229.33134,57812408458.66268
Elmhurst,31838.0542558,42102083.9343,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,42139951.38317463,84279902.76634926,168559805.5326985,337119611.065397,674239222.130794,1348478444.261588,2696956888.523176,5393913777.046352,10787827554.092705,21575655108.18541,43151310216.37082
