NTAName_x,Total Population_x,Below Poverty Line %,Total Population_y,Less than 9th grade,"9th to 12th grade, no diploma",High school diploma,Some college,Associate degree,Bachelor degree,Graduate degree,"High school graduate, or higher","Bachelor degree, or higher"
East Harlem (South),57324,29.026236829251275,58553,111.78090575275397,27.294981640146883,17.212362301101592,68.03855569155446,35.908812729498166,124.28090575275397,63.1578947368421,28.335373317013463,17.870257037943695
East Midtown-Turtle Bay,40831,6.5024123827484015,30744,27.09748083242059,2.059145673603505,15.596933187294635,30.16429353778751,14.589266155531217,246.63745892661555,135.7721796276013,65.82694414019716,26.089813800657176
East New York (North),44491,25.49504394147131,41261,148.08634415186773,27.526025719534598,19.917330067360687,39.742804654011024,26.867728107777094,35.762400489895896,9.935701163502756,1.3625229638701777,0.5205143906919779
East New York-City Line,48071,25.99280231324499,34233,340.3640256959315,44.610992148465385,24.16131334760885,60.45681655960029,43.0406852248394,67.2733761598858,21.306209850107066,3.033547466095646,1.0349750178443968
East New York-New Lots,51759,25.321200177746867,47868,176.96402645587997,35.086304242619775,30.00483949024036,65.17180190353284,34.876592998870784,54.04097435070173,22.761735763832878,2.1293757057589935,2.2745604129698336
East Village,65292,24.297004227164123,59921,277.49165474487364,59.13209346685741,59.75202670481641,171.24463519313304,83.69098712446352,787.6013352408203,288.84120171673817,61.75488793514544,49.7377205531712
East Williamsburg,53374,25.362536066249486,41861,69.06084835343542,11.641143786420924,14.392194064236346,36.27862854045264,16.75023715950671,141.50968965984552,47.377693454397615,6.464290554275647,4.052039571757691
Eastchester-Edenwald-Baychester,55935,15.080003575578797,40819,120.1793721973094,21.192492941371867,15.761501411725625,56.02059458561701,41.30543099152965,68.32752034545756,38.98023584122239,3.819963461219067,1.8103305098820794
Elmhurst,103055,10.136334966765318,75382,2728.436018957346,184.9921011058452,199.05213270142178,686.5718799368088,545.65560821485,1724.3285939968405,476.1453396524486,91.9431279620853,44.70774091627172
Far Rockaway-Bayswater,63035,18.28983897834536,40867,73.4570103460578,22.13699607563325,19.354263289332856,60.1855155190867,37.92365322868355,73.06457367106671,36.40742062076347,9.882268997502676,3.139493399928648
Financial District-Battery Park City,47348,5.360310889583509,46466,64.22685409597673,8.434318952981096,19.19534658264663,72.32186136694135,43.38342220067862,760.9791565681047,411.58507028599126,210.3247697527872,43.43189529810955
Flatbush,68977,13.710367223857228,60631,207.2632711621234,26.16571018651363,23.76255380200861,105.38020086083213,41.31994261119082,152.36728837876615,66.30200860832137,11.818507890961262,4.967718794835007
Flatbush (West)-Ditmas Park-Parkville,41881,15.458083617869677,39988,124.50653678543964,21.48167136631633,19.27710843373494,58.31837990258908,47.83388874647526,162.85567803127404,101.51243270956165,26.480389643681107,12.740322994104075
Flatlands,71517,10.063341583120097,70560,445.0333725952101,123.36081664703573,75.50058892815076,275.50058892815076,151.74715351393797,388.14291323125246,183.74558303886926,33.52964271692187,13.427561837455832
Flushing-Willets Point,58528,20.878895571350466,47202,681.0716771050801,52.26165622825331,59.151009046624914,228.39248434237996,240.6402226861517,339.2484342379958,134.44676409185803,35.281837160751564,26.304801670146137
Fordham Heights,33656,33.19170430235322,29160,186.12354521038498,46.68755595344673,29.722470904207697,99.82094897045658,52.14861235452104,55.01342882721576,14.189794091316024,2.1486123545210387,0.8504923903312444
Forest Hills,92017,7.066085614614691,87668,368.22700911350455,51.57415078707539,91.75642087821045,221.00248550124272,198.8815244407622,887.903893951947,560.8533554266777,166.4871582435791,92.3777961888981
Fort Greene,33657,18.534034524764536,29117,72.58357087328324,14.69292562840114,14.356050790360197,57.06141487431977,24.643690075149003,160.1710287639285,96.76081886499092,26.690852552474738,9.147447525265614
Fort Hamilton,1090,0.0,1264,0.8168028004667445,0.0,0.30005000833472245,1.2168694782463745,1.1168528088014669,3.8839806634439076,1.5335889314885813,0.8334722453742289,0.26671111851975327
Fort Wadsworth,485,0.0,588,1.0363520408163265,0.2232142857142857,0.3826530612244898,1.0522959183673468,0.3826530612244898,1.1798469387755102,0.7971938775510204,0.43048469387755095,0.0
Fresh Meadows-Utopia,22122,9.352680589458458,11994,33.117138364779876,3.2429245283018866,4.461477987421383,17.236635220125788,13.659591194968554,44.084119496855344,24.312106918238992,6.6430817610062896,4.068396226415095
Glen Oaks-Floral Park-New Hyde Park,24521,7.5527099221075815,15702,125.47945205479452,11.232876712328768,23.424657534246577,57.716894977168955,33.97260273972603,137.8082191780822,84.10958904109589,19.269406392694062,2.5114155251141552
Glendale,36215,7.930415573657325,35677,340.1453612654981,43.39461308251389,106.75502351432236,85.72039333048312,79.90594271056007,173.62120564343738,78.32407011543394,14.236853356135102,4.147071398033347
Gramercy,24658,10.76324113877849,26497,20.147616197885498,3.7901456213844007,4.189108318372233,16.77638140833832,14.302812687013763,171.93297426690603,87.21324556153999,58.92679034510273,12.307999202074607
Grasmere-Arrochar-South Beach-Dongan Hills,36908,11.276687980925544,26438,119.32572338731087,23.520042474117332,17.971860897265728,57.95062383859836,38.81072471462703,105.52163525351739,50.80966286169366,12.981152110432706,6.132200690204407
Gravesend (East)-Homecrest,53340,15.901762279715035,51364,273.5333782872556,33.17599460552933,34.52461227242077,109.1031692515172,69.31894807821982,255.0910316925152,130.1753202966959,24.645987862441,11.53068105192178
Gravesend (South),29264,20.27747402952433,23000,60.87240646953113,7.972553504329357,10.602842672765886,19.049174971409897,21.695801339650384,56.46136252246365,30.762947230844635,6.926972716876327,3.2674399607907203
Gravesend (West),60175,19.072704611549646,57692,273.2004142931124,25.01294665976178,29.880890730191613,81.82288969445884,76.77369238736405,222.65665458311753,96.5820818228897,11.44484722941481,5.6188503366131535
Great Kills-Eltingville,55947,6.388188821563265,54152,295.98337950138506,40.470914127423825,71.96675900277009,122.77008310249306,84.8753462603878,238.06094182825484,131.93905817174516,26.509695290858726,10.027700831024932
Greenpoint,37373,9.31153506542156,26308,133.51788756388416,16.567291311754683,40.1618398637138,76.06473594548552,44.29301533219762,371.16695059625215,150.8517887563884,29.89778534923339,10.178875638841568
Greenwich Village,28414,7.932709227845429,32189,14.1136556403732,4.359626802374894,5.055131467345208,20.44105173876166,9.770992366412214,157.69296013570823,99.49109414758269,51.162001696352846,42.23918575063613
Hamilton Heights-Sugar Hill,53405,23.975283213182287,52510,134.0507614213198,24.0,21.705583756345177,89.58375634517766,33.076142131979694,168.91370558375633,93.86802030456852,19.228426395939085,16.101522842639593
Harlem (North),82620,25.085935608811425,82712,652.8052805280528,235.44554455445544,120.46204620462046,526.9306930693069,247.92079207920793,736.5676567656766,436.3036303630363,107.59075907590758,57.16171617161716
Harlem (South),50503,18.83056452091955,49945,224.36305732484075,61.066878980891715,34.63375796178344,160.3105095541401,63.77388535031847,348.80573248407643,235.82802547770703,55.772292993630565,33.917197452229296
